id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_coleta
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.462741,16976991387,11,20849354737,1321736340,0.482647,0.450822,0.01191961,2.64397,467286779.0,2.83038,36642122600.96213,45000000000.0,45000000000.0,3.09,-84.97052,2021-09-02T06:00:10.474Z,0.01925275,2309.76798,2020-03-13T02:22:55.044Z,0,2025-12-10T14:14:40.633Z,2025-12-10 11:15:12
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.033,14603315419,12,14603315419,20577031,1.035,1.031,0.0028925,0.28066,108786432.0,0.75053,14130114829.91,14130114829.91,0.0,1.37,-24.541,2025-10-28T06:05:38.345Z,0.155357,565.23649,2025-10-31T14:27:24.456Z,0,2025-12-10T14:14:41.473Z,2025-12-10 11:15:12
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4060.7,13625234830,13,13625234830,110128251,4140.4,3797.16,249.51,6.5468,803016119.0,6.26269,3355854.472674332,3355854.472674332,0.0,7256.02,-43.92554,2022-05-13T15:09:54.509Z,558.54,628.4659,2022-05-13T01:36:45.053Z,0,2025-12-10T14:14:38.026Z,2025-12-10 11:15:12
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,62.83,13468565224,14,20159730720,107663387,63.09,60.63,1.95,3.20077,424734624.0,3.25621,214372548.0,320872548.0,400000000.0,63.15,-0.40293,2025-12-04T03:12:02.334Z,3.06,1954.38269,2023-02-13T19:01:21.899Z,0,2025-12-10T14:14:37.729Z,2025-12-10 11:15:12
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3607.52,11782154219,15,11782154219,10279957,3678.34,3372.61,224.35,6.63139,730697438.0,6.61177,3264465.999613999,3264465.999613999,0.0,5330.78,-32.23923,2025-08-24T19:27:46.809Z,1501.6,140.55508,2025-04-09T03:57:40.245Z,0,2025-12-10T14:14:37.896Z,2025-12-10 11:15:12
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,91827.0,11477432214,16,11477432214,321865686,94457.0,90007.0,1650.74,1.83056,202038508.0,1.79185,124963.48883569,124963.48883569,124963.48883569,125932.0,-27.00218,2025-10-06T18:55:19.650Z,3139.17,2828.40096,2019-04-02T00:00:00.000Z,0,2025-12-10T14:14:38.695Z,2025-12-10 11:15:12
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,569.56,11378354490,17,11378402577,448715717,590.11,560.8,-11.545218370227076,-1.98677,-237761479.2562809,-2.04682,19964756.14665078,19964840.52165078,21000000.0,3785.82,-84.92925,2017-12-20T00:00:00.000Z,76.93,641.60398,2018-12-16T00:00:00.000Z,0,2025-12-10T14:14:39.816Z,2025-12-10 11:15:12
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,14.1,9832644145,18,14110130677,792561735,14.97,13.69,0.396519,2.89324,272059626.0,2.84564,696849970.4525868,1000000000.0,1000000000.0,52.7,-73.17717,2021-05-10T00:13:57.214Z,0.148183,9438.67861,2017-11-29T00:00:00.000Z,0,2025-12-10T14:14:40.670Z,2025-12-10 11:15:12
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.99929,9670503265,19,9670503265,10635121,1.0,0.999005,-0.000737345555484548,-0.07373,106535423.0,1.11392,9676995248.074621,9676995248.074621,0.0,1.057,-5.48493,2024-10-29T05:40:51.197Z,0.948265,5.38496,2024-10-03T13:19:28.826Z,0,2025-12-10T14:14:37.324Z,2025-12-10 11:15:12
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,8983512342,20,8983512342,1336504016,1.002,0.998272,-0.000436734643453063,-0.04365,8319266.0,0.09269,8984992892.453934,8984992892.453934,0.0,1.05,-4.77406,2024-08-05T14:21:42.527Z,0.942186,6.11868,2024-12-05T22:30:39.827Z,0,2025-12-10T14:14:40.130Z,2025-12-10 11:15:12
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3325.6,8764852892,21,8764852892,214529365,3391.39,3103.41,204.81,6.56282,360931758.0,4.2948,2636660.995395542,2636660.995395542,0.0,4950.08,-32.62746,2025-08-24T19:28:11.411Z,82.1,3961.94159,2018-12-15T00:00:00.000Z,0,2025-12-10T14:14:44.518Z,2025-12-10 11:15:12
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.34,8625540157,22,9217767307,792392,9.66,9.35,-0.22447798633501925,-2.34683,-189716459.03679085,-2.15214,921939404.9,985239504.0,0.0,10.14,-7.50024,2025-03-10T09:26:43.294Z,0.799859,1072.07533,2019-12-24T15:14:35.376Z,0,2025-12-10T14:14:43.226Z,2025-12-10 11:15:12
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3601.34,8514798937,23,8514798937,10544113,3672.34,3367.51,221.49,6.55333,520831276.0,6.5153,2364429.041666561,2364429.041666561,0.0,5296.78,-31.8889,2025-08-24T19:25:19.771Z,1505.24,139.67655,2025-04-09T03:45:31.391Z,0,2025-12-10T14:14:37.971Z,2025-12-10 11:15:12
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.252205,8154706277,24,12604689519,171157254,0.257843,0.241506,0.00999613,4.12706,307986739.0,3.92504,32349062208.5057,50001786883.67145,0.0,0.875563,-71.22516,2018-01-03T00:00:00.000Z,0.00047612,52815.24981,2015-03-05T00:00:00.000Z,0,2025-12-10T14:14:46.967Z,2025-12-10 11:15:12
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,28.88,7812788221,25,28848891032,312217235,29.44,27.68,0.844434,3.01155,227251752.0,2.99586,270772999.4341414,999835210.4341414,1000000000.0,59.3,-51.34591,2025-09-18T03:30:30.650Z,3.81,657.56419,2024-11-29T09:30:30.871Z,0,2025-12-10T14:14:42.665Z,2025-12-10 11:15:12
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,409.25,7478719317,26,7478719317,193379862,407.78,360.95,48.29,13.37979,813677225.0,12.20813,18446744.07370955,18446744.07370955,0.0,542.33,-24.9675,2018-01-09T00:00:00.000Z,0.216177,188135.11452,2015-01-14T00:00:00.000Z,0,2025-12-10T14:14:44.001Z,2025-12-10 11:15:12
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,433.5,7126149522,27,7126397507,852839702,447.48,423.4,6.84,1.60229,109960752.0,1.56724,16433473.6030448,16434045.4780448,21000000.0,3191.93,-86.48731,2016-10-29T00:00:00.000Z,16.08,2582.28848,2024-07-05T04:22:29.321Z,0,2025-12-10T14:14:46.168Z,2025-12-10 11:15:12
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,92105.0,6681149028,28,6681149028,482335569,94474.0,90121.0,1812.73,2.00762,113322032.0,1.72541,72577.34102832,72577.34102832,0.0,125954.0,-26.91328,2025-10-06T18:58:50.734Z,57439.0,60.26722,2024-09-12T14:07:41.775Z,0,2025-12-10T14:14:40.888Z,2025-12-10 11:15:12
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.998992,6554159854,29,6554159854,245003304,1.034,0.997624,-0.000385687143685476,-0.03859,-73845783.59739876,-1.11415,6561291973.280148,6561291973.280148,0.0,1.034,-3.3963,2025-12-09T17:10:12.652Z,0.929486,7.46856,2024-10-04T07:57:15.809Z,0,2025-12-10T14:14:45.935Z,2025-12-10 11:15:12
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,84.37,6465904863,30,6466094234,538591332,87.38,83.59,0.067661,0.08026,-7644541.6973629,-0.11809,76610889.48347135,76613133.23347135,84000000.0,410.26,-79.43515,2021-05-10T03:13:07.904Z,1.15,7243.85643,2015-01-14T00:00:00.000Z,0,2025-12-10T14:14:43.655Z,2025-12-10 11:15:12
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,14.28,6135006906,31,6587455468,498273287,14.7,13.59,0.626192,4.58559,270172558.0,4.60665,429418801.564324,461087864.4668573,720000000.0,144.96,-90.13693,2021-11-21T14:18:56.538Z,2.8,410.43572,2020-12-31T13:15:21.540Z,0,2025-12-10T14:14:39.443Z,2025-12-10 11:15:12
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.61,6028294802,32,16131951802,927477824,1.72,1.59,0.0111844,0.69895,34109989.0,0.56905,3736866360.651109,10000000000.0,10000000000.0,5.35,-69.79825,2025-01-04T22:56:18.063Z,0.364846,342.58553,2023-10-19T10:40:30.078Z,0,2025-12-10T14:14:47.155Z,2025-12-10 11:15:12
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.13713,5822165571,33,6853427657,170827524,0.142921,0.134638,0.0019275,1.42564,73507830.0,1.2787,42476304284.99159,50000000000.0,50000000000.0,0.569229,-75.91689,2021-09-15T10:40:28.318Z,0.00986111,1290.18831,2020-01-02T17:30:24.852Z,0,2025-12-10T14:14:42.344Z,2025-12-10 11:15:12
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,8.51e-06,5012909975,34,5015090269,152487322,9.02e-06,8.5e-06,-1.14371105327e-07,-1.32676,-79769034.70390987,-1.56635,589244312513523.1,589500595943388.9,0.0,8.616e-05,-90.1274,2021-10-28T03:54:55.568Z,5.6366e-11,15090658.03694,2020-11-28T11:26:25.838Z,0,2025-12-10T14:14:46.123Z,2025-12-10 11:15:12
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,1.0,4661729074,35,4661729074,292064739,1.001,0.998966,0.00056761,0.05678,141156642.0,3.12254,4662307250.66695,4662307250.66695,0.0,1.052,-4.94486,2025-01-23T22:34:53.341Z,0.975737,2.48827,2025-02-28T01:35:58.101Z,0,2025-12-10T14:14:37.993Z,2025-12-10 11:15:12
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.079,4348426634,36,4348426634,1163570,1.094,1.056,-0.00023407943758702,-0.02169,89383587.0,2.09868,4030459893.197275,4030459893.197275,0.0,1.11,-2.36705,2025-10-10T21:52:27.019Z,0.961716,12.18611,2025-01-04T01:21:08.460Z,0,2025-12-10T14:14:46.732Z,2025-12-10 11:15:12
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999606,4332104801,37,4332104801,60295738,1.001,0.998328,0.00072408,0.07249,2414425.0,0.05576,4335207741.725831,4335207741.725831,0.0,1.22,-17.99626,2020-03-13T03:02:50.373Z,0.88196,13.33493,2023-03-11T07:50:50.514Z,0,2025-12-10T14:14:41.032Z,2025-12-10 11:15:12
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.152138,4142015189,38,15203513472,134600676,0.158341,0.149285,0.00266894,1.78561,64795827.0,1.58922,27243802538.151154,100000000000.0,100000000000.0,0.331336,-54.1145,2025-09-01T12:20:09.597Z,0.104606,45.34112,2025-10-10T21:22:29.880Z,0,2025-12-10T14:14:37.943Z,2025-12-10 11:15:12
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.64,4024161195,39,8464707666,93643266,1.69,1.62,0.02127915,1.3121,46219503.0,1.16189,2447381865.627388,5147997566.428617,0.0,8.25,-80.08036,2024-06-15T00:36:51.509Z,0.519364,216.55822,2021-09-21T00:33:11.092Z,0,2025-12-10T14:14:47.440Z,2025-12-10 11:15:12
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.105059,3926822199,40,10325029353,18221641,0.108984,0.103636,0.00142383,1.37388,55579609.0,1.4357,37356149386.94591,98222766251.82674,100000000000.0,0.965407,-89.10439,2021-11-24T15:53:54.855Z,0.0121196,767.90848,2019-02-08T00:00:00.000Z,0,2025-12-10T14:14:40.671Z,2025-12-10 11:15:12
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,0.999955,3838222160,42,3847207519,71010978,1.0,0.99919,5.124e-05,0.00512,11093938.0,0.28988,3839300518.525921,3848288401.875921,0.0,1.021,-2.0399,2023-10-23T22:44:57.056Z,0.959426,4.22015,2024-12-05T22:31:13.430Z,0,2025-12-10T14:14:44.887Z,2025-12-10 11:15:12
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.18,3835386340,41,7332890535,190590808,1.19,1.1,0.069826,6.30771,233650107.0,6.48715,3252944055.636841,6219316794.89,6219316794.89,2.86,-58.51933,2025-10-09T01:04:46.659Z,0.307978,284.53991,2023-10-18T02:50:46.942Z,0,2025-12-10T14:14:43.559Z,2025-12-10 11:15:12
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2.2,3625542972,43,3625542972,259804236,2.37,2.11,0.07953,3.74275,127935022.0,3.65779,1643985391.458458,1643985391.458458,0.0,54.98,-95.98637,2021-11-04T14:10:09.301Z,1.98,11.58193,2025-12-01T15:50:20.422Z,0,2025-12-10T14:14:45.558Z,2025-12-10 11:15:12
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.21,3551279424,44,3551279424,78428757,1.21,1.21,-1.6771367613355e-05,-0.00139,-33369463.057231903,-0.9309,2939488155.368522,2939488155.368522,0.0,1.29,-6.41312,2025-01-29T17:52:32.991Z,1.012,19.34868,2024-04-03T14:23:03.162Z,0,2025-12-10T14:14:41.310Z,2025-12-10 11:15:12
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.55,3495754535,45,5549650279,337908436,5.96,5.48,0.04544358,0.8255,22472713.0,0.64702,629905374.0113912,1000000000.0,1000000000.0,44.92,-87.64127,2021-05-03T05:25:04.822Z,1.03,438.87172,2020-09-17T01:20:38.214Z,0,2025-12-10T14:14:37.611Z,2025-12-10 11:15:12
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,198.48,3009489267,46,3175748237,511054661,205.69,187.83,10.58,5.63288,158194282.0,5.54816,15162356.923382655,16000000.0,16000000.0,661.69,-70.00988,2021-05-18T21:19:59.514Z,26.02,662.55821,2020-11-05T09:20:11.928Z,0,2025-12-10T14:14:38.691Z,2025-12-10 11:15:12
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,299.74,2874516678,47,6289649060,153980450,313.2,296.56,-6.931038196709665,-2.26007,-72689437.40640926,-2.46638,9597491.0,21000000.0,21000000.0,757.6,-60.43229,2024-03-07T18:45:36.466Z,30.83,872.32303,2023-05-14T08:57:53.732Z,0,2025-12-10T14:14:39.382Z,2025-12-10 11:15:12
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999102,2731778288,48,2731778288,320123701,0.999469,0.998429,0.00013421,0.01343,4650725.0,0.17054,2733972151.586411,2733972151.586411,0.0,1.025,-2.50777,2025-05-12T12:36:39.412Z,0.989633,0.95924,2025-10-01T08:51:32.103Z,0,2025-12-10T14:14:37.665Z,2025-12-10 11:15:12
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.074485,2649022281,49,2649022281,13695554,0.079431,0.07263,0.00145264,1.98903,-20922226.91063261,-0.78362,35941190708.91963,35941190708.91963,0.0,0.159483,-53.60201,2025-11-10T09:46:17.203Z,0.059024,25.36729,2025-12-06T10:32:09.784Z,0,2025-12-10T14:14:40.007Z,2025-12-10 11:15:12
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00763963,2589473313,50,8773461674,24763342,0.00806148,0.00635798,6.336e-05,0.83635,789381723.0,43.85231,339407948933.5658,1149956872201.997,1150000000000.0,0.00823862,-7.39488,2025-11-24T18:21:22.424Z,0.00222126,243.47112,2025-09-14T08:56:57.416Z,0,2025-12-10T14:14:46.496Z,2025-12-10 11:15:12
