id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_coleta
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,91995.0,1836551225537,1,1836551225537,54543533349,94490.0,90170.0,1554.15,1.71841,30454612039.0,1.68621,19960203.0,19960203.0,21000000.0,126080.0,-26.96271,2025-10-06T18:57:42.558Z,67.81,135701.05297,2013-07-06T00:00:00.000Z,0,2025-12-10T14:14:42.792Z,2025-12-10 11:15:12
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3323.6,401385814300,2,401385814300,35093852514,3388.4,3107.46,205.56,6.5927,24886600022.0,6.61,120695212.9370718,120695212.9370718,0.0,4946.05,-32.58079,2025-08-24T19:21:03.333Z,0.432979,770049.96936,2015-10-20T00:00:00.000Z,"{'times': 47.29583960042212, 'currency': 'btc', 'percentage': 4729.583960042212}",2025-12-10T14:14:44.281Z,2025-12-10 11:15:12
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,186059926242,3,191527082610,97406174309,1.0,0.999999,1.869e-05,0.00187,332792024.0,0.17918,186052440682.4471,191519377096.0562,0.0,1.32,-24.41279,2018-07-24T00:00:00.000Z,0.572521,74.68196,2015-03-02T00:00:00.000Z,0,2025-12-10T14:14:37.484Z,2025-12-10 11:15:12
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.06,124529540599,4,206378955279,3933124907,2.17,2.05,0.00232532,0.11282,-196836697.8569336,-0.15781,60331635327.0,99985752852.0,100000000000.0,3.65,-43.37663,2025-07-18T03:40:53.808Z,0.00268621,76763.10965,2014-05-22T00:00:00.000Z,0,2025-12-10T14:14:46.155Z,2025-12-10 11:15:12
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,890.01,122685439900,5,122685439900,2115214862,926.09,883.29,5.61,0.63435,904154438.0,0.74244,137735702.18,137735702.18,200000000.0,1369.99,-34.91573,2025-10-13T08:41:24.131Z,0.0398177,2239228.45038,2017-10-19T00:00:00.000Z,0,2025-12-10T14:14:42.673Z,2025-12-10 11:15:12
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999908,78290985304,6,78317832377,14443508589,1.0,0.999704,0.00010157,0.01016,95693246.0,0.12238,78296623732.84016,78323472739.73132,0.0,1.17,-14.7325,2019-05-08T00:40:28.300Z,0.877647,13.93392,2023-03-11T08:02:13.981Z,0,2025-12-10T14:14:37.974Z,2025-12-10 11:15:12
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,137.37,77173825790,7,84637507403,7138343692,144.43,132.08,4.78,3.60494,2709542071.0,3.63871,561460470.9421132,615760774.8452567,0.0,293.31,-53.08213,2025-01-19T11:15:27.957Z,0.500801,27379.11359,2020-05-11T19:35:23.449Z,0,2025-12-10T14:14:46.480Z,2025-12-10 11:15:12
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3324.01,29021937238,8,29021937238,60775917,3387.97,3109.18,206.05,6.60854,1787902471.0,6.56496,8723655.957175314,8723655.957175314,0.0,4932.89,-32.43966,2025-08-24T19:21:31.902Z,482.9,590.14409,2020-12-22T04:08:21.854Z,0,2025-12-10T14:14:46.571Z,2025-12-10 11:15:12
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.278031,26323209992,9,26323222936,670798481,0.283423,0.278018,-0.002447860380543565,-0.87274,-234525704.46764755,-0.88308,94681549162.3048,94681595719.84319,0.0,0.431288,-35.49803,2024-12-04T00:10:40.323Z,0.00180434,15317.78332,2017-11-12T00:00:00.000Z,"{'times': 145.33215022053622, 'currency': 'usd', 'percentage': 14533.21502205362}",2025-12-10T14:14:37.491Z,2025-12-10 11:15:12
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.145717,22180387804,10,22181983011,1674948772,0.152789,0.140746,0.00373035,2.62725,-765417311.482914,-3.33576,152114046383.7052,152124986383.7052,0.0,0.731578,-80.05145,2021-05-08T05:08:23.458Z,8.69e-05,167832.04599,2015-05-06T00:00:00.000Z,0,2025-12-10T14:14:41.343Z,2025-12-10 11:15:12
