id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_coleta
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,92681.0,1848468364014,1,1848469475302,43040838634,94038.0,91763.0,-1245.3251959262125,-1.32586,-25511505312.405273,-1.36135,19960278.0,19960290.0,21000000.0,126080.0,-26.25851,2025-10-06T18:57:42.558Z,67.81,137010.39915,2013-07-06T00:00:00.000Z,0,2025-12-10T18:47:03.681Z,2025-12-10 15:47:10
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3398.4,409895418648,2,409895418648,27765092916,3419.85,3291.61,23.18,0.68684,2805112435.0,0.68906,120695212.9370718,120695212.9370718,0.0,4946.05,-30.84889,2025-08-24T19:21:03.333Z,0.432979,789833.99308,2015-10-20T00:00:00.000Z,"{'times': 48.0241639051558, 'currency': 'btc', 'percentage': 4802.41639051558}",2025-12-10T18:47:00.663Z,2025-12-10 15:47:10
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,186062155442,3,191529377313,76878294365,1.0,0.999999,1.603e-05,0.0016,336329920.0,0.18109,186052440682.4471,191519377096.0562,0.0,1.32,-24.41275,2018-07-24T00:00:00.000Z,0.572521,74.68204,2015-03-02T00:00:00.000Z,0,2025-12-10T18:47:08.047Z,2025-12-10 15:47:10
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.08,125204580707,4,207497678368,3492579082,2.15,2.06,-0.07457420536495141,-3.46886,-4442327788.2213745,-3.42648,60331635327.0,99985752852.0,100000000000.0,3.65,-43.00163,2025-07-18T03:40:53.808Z,0.00268621,77272.16074,2014-05-22T00:00:00.000Z,0,2025-12-10T18:47:06.441Z,2025-12-10 15:47:10
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,899.82,123936185824,5,123936184357,1697531063,916.78,884.88,-16.261231642066946,-1.7751,-2344684752.623474,-1.85672,137735687.65,137735686.02,200000000.0,1369.99,-34.20815,2025-10-13T08:41:24.131Z,0.0398177,2263573.75747,2017-10-19T00:00:00.000Z,0,2025-12-10T18:47:00.485Z,2025-12-10 15:47:10
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,78274210820,6,78383695821,11645891044,1.0,0.999704,0.00019791,0.01979,100082020.0,0.12802,78284308711.26347,78195462585.82515,0.0,1.17,-14.69804,2019-05-08T00:40:28.300Z,0.877647,13.97997,2023-03-11T08:02:13.981Z,0,2025-12-10T18:47:08.507Z,2025-12-10 15:47:10
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,138.24,77696238644,7,85210883111,5541020694,142.58,136.06,-4.1712723653305375,-2.92902,-2309235717.9561615,-2.88635,561584318.5057822,615899741.9846302,0.0,293.31,-52.75509,2025-01-19T11:15:27.957Z,0.500801,27570.65491,2020-05-11T19:35:23.449Z,0,2025-12-10T18:47:06.900Z,2025-12-10 15:47:10
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3394.12,29664428502,8,29664829320,27984175,3399.78,3291.27,18.93,0.56082,178762456.0,0.60627,8723797.992731668,8723915.866501492,0.0,4932.89,-30.79972,2025-08-24T19:21:31.902Z,482.9,606.89651,2020-12-22T04:08:21.854Z,0,2025-12-10T18:47:06.782Z,2025-12-10 15:47:10
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.27774,26296835281,9,26296835285,606895354,0.283423,0.277033,-0.004106281606100493,-1.45692,-383865400.17565536,-1.43874,94681230932.4822,94681230944.81049,0.0,0.431288,-35.61151,2024-12-04T00:10:40.323Z,0.00180434,15290.65796,2017-11-12T00:00:00.000Z,"{'times': 145.17874904208765, 'currency': 'usd', 'percentage': 14517.874904208764}",2025-12-10T18:47:07.954Z,2025-12-10 15:47:10
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.147704,22451605177,10,22453646446,1135317241,0.151343,0.145031,-0.003225470248360895,-2.13707,-520971583.93954086,-2.2678,152114046383.7052,152127876383.7052,0.0,0.731578,-79.79545,2021-05-08T05:08:23.458Z,8.69e-05,169987.07527,2015-05-06T00:00:00.000Z,0,2025-12-10T18:47:01.313Z,2025-12-10 15:47:10
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.4662,17081311119,11,20977469256,1000954934,0.480769,0.459577,-0.014568662336102878,-3.03028,-506332450.6461067,-2.87891,36642122600.96213,45000000000.0,45000000000.0,3.09,-84.87134,2021-09-02T06:00:10.474Z,0.01925275,2325.67027,2020-03-13T02:22:55.044Z,0,2025-12-10T18:47:00.410Z,2025-12-10 15:47:10
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.013,14322398846,12,14322398846,15130899,1.034,1.012,-0.02035190000000009,-1.96856,-244512323.14188766,-1.67855,14130114829.91,14130114829.91,0.0,1.37,-25.99257,2025-10-28T06:05:38.345Z,0.155357,552.43968,2025-10-31T14:27:24.456Z,0,2025-12-10T18:47:01.419Z,2025-12-10 15:47:10
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4144.49,13951433266,13,13949773347,68258595,4167.51,4019.85,21.74,0.52732,79979079.0,0.57657,3355245.808195365,3354846.606482423,0.0,7256.02,-42.69633,2022-05-13T15:09:54.509Z,558.54,644.43468,2022-05-13T01:36:45.053Z,0,2025-12-10T18:47:08.847Z,2025-12-10 15:47:10
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,63.35,13582458415,14,20330205898,112536481,63.36,61.36,0.696666,1.112,138152482.0,1.02759,214372548.0,320872548.0,400000000.0,63.36,0.00855,2025-12-10T18:41:35.883Z,3.06,1969.67517,2023-02-13T19:01:21.899Z,0,2025-12-10T18:47:08.412Z,2025-12-10 15:47:10
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3687.19,12044829593,15,12044829593,9223110,3713.32,3572.0,29.17,0.79743,77136896.0,0.64454,3264466.002690923,3264466.002690923,0.0,5330.78,-30.89398,2025-08-24T19:27:46.809Z,1501.6,145.3308,2025-04-09T03:57:40.245Z,0,2025-12-10T18:47:08.570Z,2025-12-10 15:47:10
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,92423.0,11584291049,16,11584291049,183358372,93986.0,91560.0,-1455.6595090624178,-1.55058,-134477013.26543045,-1.14754,124963.48883569,124963.48883569,124963.48883569,125932.0,-26.17419,2025-10-06T18:55:19.650Z,3139.17,2861.61685,2019-04-02T00:00:00.000Z,0,2025-12-10T18:47:09.364Z,2025-12-10 15:47:10
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,574.31,11466076450,17,11466087219,432765369,587.94,560.8,-6.633563950778125,-1.14186,-129833861.87120438,-1.11965,19964946.77165078,19964965.52165078,21000000.0,3785.82,-84.84598,2017-12-20T00:00:00.000Z,76.93,645.70158,2018-12-16T00:00:00.000Z,0,2025-12-10T18:46:59.514Z,2025-12-10 15:47:10
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,14.43,10052470269,18,14425587565,640409826,14.77,13.99,-0.3458560103275321,-2.34122,-233966895.32187653,-2.27452,696849970.4525868,1000000000.0,1000000000.0,52.7,-72.52134,2021-05-10T00:13:57.214Z,0.148183,9671.90365,2017-11-29T00:00:00.000Z,0,2025-12-10T18:47:00.893Z,2025-12-10 15:47:10
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999536,9668335745,19,9669851782,17247714,1.0,0.998956,-0.000581616750820912,-0.05815,22122580.0,0.22934,9669378231.007113,9670894431.293808,0.0,1.057,-5.46534,2024-10-29T05:40:51.197Z,0.948265,5.4068,2024-10-03T13:19:28.826Z,0,2025-12-10T18:47:08.001Z,2025-12-10 15:47:10
